독립문,129,3,5100,720,6167,4917,16297,10057,22470,21265,16749,17240,13464,16456,13876,12390,16458,12593,16095,14341,17137,13470,18021,13654,16507,14003,16683,16410,17549,19305,8649,17203,6253,10626,5432,9655,3731,9862,1282,6304,177,2860,1,942,0,0,0,0
경복궁(정부서울청사),85,3,2516,1485,5371,13610,15231,39928,24959,132794,23576,72560,19786,50562,25815,49166,30534,47212,39157,51291,44632,44079,52768,39622,64137,35866,76012,34206,124543,40239,51702,27837,38909,15007,41011,13182,29385,12870,11539,7946,1820,2205,2,86,0,0,0,0
안국,20,0,1991,2189,3332,18207,6464,92175,9838,120263,9973,72119,11809,51263,17556,54207,26171,49558,34245,48548,43798,44755,51192,36794,58204,31644,108315,28396,134428,28112,57274,15745,43989,8262,41377,6543,24867,6309,8525,3751,1122,1200,0,10,0,0,0,0
충무로,92,1,3599,3058,5256,18750,10424,54496,17195,210183,21238,122384,23835,62054,28429,52506,33102,48680,39881,50961,46128,46069,51733,39298,60524,38187,93555,42189,174015,48349,96824,33544,61839,18134,61924,16058,49090,15636,25128,11256,4786,3768,2,155,0,0,0,0
동대입구,21,0,1620,1265,2578,7775,5340,19429,9773,60879,8389,35941,7637,26276,9733,25251,13167,19875,16080,20819,15667,18511,17292,15760,22728,13950,39464,16365,49389,20612,24685,11653,28113,6411,18535,6215,13917,5477,4933,4295,684,1364,1,120,0,0,0,0
약수,127,23,7224,1314,12496,7187,30489,15264,55346,59068,37437,38541,26954,25405,26784,23369,31035,23853,31625,25294,29946,27272,30421,27793,31208,31550,38094,38599,55204,55903,31653,43160,24336,26536,24038,24785,19550,23714,9514,15762,1582,5716,3,736,1,0,0,0
금호,32,4,4183,481,10287,3072,27033,4493,43963,8585,27513,7623,17267,7072,15641,7359,14826,9203,14921,10738,12306,11741,11826,13928,11975,16391,13421,21434,13477,33001,8797,27314,5991,18268,5388,16557,3928,15894,1972,9648,342,2944,0,0,0,0,0,0
옥수,131,3,2949,903,8865,3889,25031,7156,38487,17030,25888,12823,17956,9518,17181,10895,16920,12448,17981,14391,15730,14581,15210,17260,16434,19616,19379,25330,19974,37134,12823,31988,8979,20603,8593,19427,6373,19284,2854,10703,486,3034,0,0,0,0,0,0
압구정,83,1,3207,2344,8534,27789,17015,51523,30539,167436,22844,175147,27330,86951,37285,76455,45870,61422,51442,68390,61441,62514,70926,58730,79272,56612,98471,61931,157215,71872,117409,48609,88169,21093,64339,16859,49782,14239,17114,8724,2373,3308,4,455,0,0,0,0
신사,69,6,5610,1660,8104,20184,13731,46682,23004,129472,19430,152292,21722,80979,27867,59882,35051,63839,42644,70802,51817,67480,62313,62848,71452,61649,96569,67078,163953,91917,119916,63383,79863,26912,87155,18744,77648,15190,33651,12131,4761,4811,0,5,0,0,0,0
잠원,9,0,1581,730,5883,5104,16790,7411,26743,11178,16132,8199,10943,5831,11120,6354,11236,7907,10550,8917,9888,8872,10453,9642,11059,10383,13880,13909,13629,20392,7940,17208,4994,10792,4720,10937,3476,12633,1121,6879,157,2113,0,2,0,0,0,0
고속터미널,171,5,10242,8608,16262,70701,54076,112601,97923,186952,109196,197311,115505,173977,137572,207373,163187,196627,178303,197912,187812,208258,214675,214247,236579,214617,276943,223181,279926,253052,235231,179537,241006,103409,181456,81583,125059,64124,45594,35782,5214,6960,1,75,0,0,0,0
남부터미널(예술의전당),47,1,2871,1108,8708,25144,27157,61131,49439,200519,43568,95206,45186,60187,51966,52883,53291,54185,58919,63182,58299,63845,63990,62735,71185,65070,103392,69515,181988,82392,89982,62545,61705,32427,54920,27470,46974,21325,17019,11867,1944,3335,1,1,1,0,0,0
양재(서초구청),150,1,5957,2861,14674,37571,36344,102170,52452,278573,38334,149240,36832,71515,41560,61336,47438,55894,57951,61809,61833,55537,69050,53747,76785,52240,123525,69210,231334,94111,117952,67995,78562,38687,79635,33536,58227,29579,21679,17743,2429,5211,1,58,1,1,0,0
매봉,6,1,1376,589,5939,10065,15093,19643,21204,78321,14450,36744,12754,16241,13280,15129,13850,13641,15401,13088,17661,13309,19274,12900,21229,13501,32305,16497,67165,22875,28601,18179,17198,10251,18722,9279,12815,9114,4406,5709,505,1647,0,121,0,1,0,0
도곡,108,4,2188,1431,6030,10332,15329,23085,23768,51572,17587,43179,14880,18758,17005,18704,18445,18155,20502,19903,21303,16848,23487,16717,28687,17879,38469,19884,51033,24727,26189,20663,16438,13118,15232,12601,11154,12232,3583,7651,343,2564,4,390,0,0,0,0
대치,12,0,2554,815,12416,8142,25900,17604,29483,31110,17935,27057,14536,17316,15737,16332,20045,21682,20915,24317,18820,19914,22277,20820,23647,23955,34869,30124,33375,31198,24719,26078,15021,15745,18851,15098,36051,15420,4598,9470,783,3219,2,2,0,0,0,0
학여울,14,0,495,266,1432,1689,3695,3145,4781,8243,3456,6528,2774,5179,3696,5097,4751,5537,5688,5901,5765,5616,7086,4899,7190,3913,7866,3598,8807,4390,3424,3803,2168,2538,1975,2323,1371,2365,438,1558,79,564,0,0,0,0,0,0
대청,39,1,3514,1132,9623,6247,25425,11628,34563,28654,19688,12661,15111,8317,15036,8297,14637,9842,15449,11286,14333,11560,15573,13490,19678,14350,24246,18069,30269,26637,13003,25010,10007,15799,8854,15610,5893,16774,2364,10147,426,3557,0,6,0,0,0,0
